dataset,trainer,seed,base,new,harmonic
eurosat,CoCoOp,1,86.7,44.0,58.3749
eurosat,CoCoOp,2,88.5,75.4,81.4265
eurosat,CoCoOp,3,88.8,69.4,77.9105
eurosat,LiCoCoOp,1,84.2,64.3,72.9166
eurosat,LiCoCoOp,2,88.5,73.0,80.0062
eurosat,LiCoCoOp,3,91.9,74.2,82.1069
eurosat,DuCoCoOp,1,87.7,65.1,74.7287
eurosat,DuCoCoOp,2,82.6,54.4,65.5977
eurosat,DuCoCoOp,3,90.3,62.5,73.8711
fgvc_aircraft,CoCoOp,1,34.6,33.5,34.0411
fgvc_aircraft,CoCoOp,2,35.6,32.2,33.8147
fgvc_aircraft,CoCoOp,3,35.8,32.6,34.1251
fgvc_aircraft,LiCoCoOp,1,33.3,31.7,32.4803
fgvc_aircraft,LiCoCoOp,2,35.1,32.8,33.9110
fgvc_aircraft,LiCoCoOp,3,29.8,6.2,10.2644
fgvc_aircraft,DuCoCoOp,1,36.1,32.0,33.9266
fgvc_aircraft,DuCoCoOp,2,33.4,32.9,33.1481
fgvc_aircraft,DuCoCoOp,3,36.0,32.6,34.2157
dtd,LiCoCoOp,1,76.7,53.0,62.6847
dtd,LiCoCoOp,2,74.8,53.3,62.2457
dtd,LiCoCoOp,3,76.7,57.4,65.6611
dtd,DuCoCoOp,1,75.7,57.2,65.1624
dtd,DuCoCoOp,2,78.4,52.7,63.0310
dtd,DuCoCoOp,3,75.8,54.2,63.2055
food101,LiCoCoOp,1,90.9,91.8,91.3478
food101,LiCoCoOp,2,90.7,91.3,90.9990
food101,LiCoCoOp,3,90.3,91.9,91.0930
food101,DuCoCoOp,1,90.5,90.6,90.5500
food101,DuCoCoOp,2,90.4,91.1,90.7487
food101,DuCoCoOp,3,90.3,91.7,90.9946
ucf101,LiCoCoOp,1,83.2,72.5,77.4823
ucf101,LiCoCoOp,2,83.4,75.8,79.4186
ucf101,LiCoCoOp,3,83.0,76.9,79.8336
ucf101,DuCoCoOp,1,82.7,77.8,80.1752
ucf101,DuCoCoOp,2,83.2,78.3,80.6757
ucf101,DuCoCoOp,3,83.2,75.3,79.0531
